id,estimulo,tiempo
-M8l3I75CMWRngwIxuPQ,Conocimiento,1591034659150
-M8l7u2AWWzRvXeLN0Wq,Big data,1591035845142
-M8lA1JN4l55IBlqjeno,Big data,1591036445518
-M8lAlX1ZPLv1tOUPX0e,Big data,1591036607389
-M8lPZ1UxphdTirh1JaY,Ciencia de datos,1591040358316
-M8lggAswIRSAd5B718E,Ciencia de datos,1591045234308
-M8m22eXILCtAm8Xkmjn,Ciencia de datos,1591050790510
-M8mfWFQTVBiHHJ9Uoh1,Ciencia de datos,1591061647837
-M8n3PEbODDgE0qeplK_,Conocimiento,1591068177611
-M8n8EBzhb_PTHgVNVE1,Inteligencia artificial,1591069460448
-M8nBAAVWahQnRXaT6hF,Inteligencia artificial,1591070251373
-M8nDZE8TE8OHGsDLzvt,Big data,1591070887915
-M8nFwolbjBkFTBnODuI,Big data,1591071155446
-M8nouvktrBFAh_xp5jW,Big data,1591080910978
-M8nwGu4fJCSSJEbWvmx,Conocimiento,1591082650893
-M8owv7xeIZCb16ac6nJ,Big data,1591099801355
-M8qFzQdpFuSbW0Ab5fn,Big data,1591121424038
-M8qx2dG5u1DKpQZVpt2,Big data,1591133380620
-M8rDo1PWL9WAr12eclb,Ciencia de datos,1591138105665
-M8rPZiXQiC5ykzHMOU3,Conocimiento,1591141191314
-M8rSeoE-hu3qI41cOIt,Big data,1591141916137
-M8rTMCoE87MfsbZ1-FB,Inteligencia artificial,1591142173727
-M8re9yOAXybijbPoLlj,Inteligencia artificial,1591145179767
-M8rhP7Tc-j_cCGiQguB,Ciencia de datos,1591147088144
-M8ruzo-ovtFWys3zux7,Conocimiento,1591149624255
-M8rxkI-JcGFnIFESa-m,Big data,1591150463141
-M8sFJKs9ZPMNJVgqb_u,Ciencia de datos,1591155266022
-M8uHmwbICaHfKm1bDuG,Big data,1591189467670
-M8uZIh7v0kN8doX-Ocn,Big data,1591194100130
-M8v_LabYMJ1vpxMg9cx,Inteligencia artificial,1591211105077
-M8w34TI2RTjfBesAUU2,Ciencia de datos,1591219094473
-M8wR5o-n3dNpOWPYMkj,Inteligencia artificial,1591225517803
-M8wWzTqNwDZUbdaBoLD,Ciencia de datos,1591226403228
-M8wXK86KmluD4HigccX,Inteligencia artificial,1591227193323
-M8wY08Z9Uv8vTXCoAUh,Inteligencia artificial,1591227386738
-M8xGlp679KKe71_cAwx,Inteligencia artificial,1591239498685
-M8xLm6N6StAel-mAbJM,Big data,1591240928085
-M8yoL6USCtgW9GSY2Ms,Inteligencia artificial,1591265297828
-M8zLQqtQIyhASnI4gXi,Big data,1591274330785
-M8zvqlDfBmx2lqo6l4h,Inteligencia artificial,1591284208006
-M9-NSakIfzM-p_HRKLV,Big data,1591291675976
-M9-RwYyG_zIEwVLGkAz,Inteligencia artificial,1591292698661
-M9-Y4Oc69RDIXhZ_biF,Inteligencia artificial,1591294376737
-M9-ZJ7-HIQPqdpA_QXp,Big data,1591294621070
-M9-hKCsT3NadlNn5y5i,Big data,1591297151822
-M9-optwC39Bk_baa0SL,Ciencia de datos,1591299035682
-M9-pqiKL__J2MzXid2J,Big data,1591299264140
-M9-q4CdzKmkxwjQ27Ro,Big data,1591299399157
-M906J5AoaweaWRDWMCp,Big data,1591303947112
-M90EETwVmcgHX08Syvd,Big data,1591305950974
-M90rxj2pJ7NiD2CTzq-,Conocimiento,1591316475461
-M9111neup8p37KU2IZQ,Inteligencia artificial,1591319019325
-M9153SL_gfvUEwZ_DEw,Big data,1591320349908
-M915jTNhtuxZTBqd2CD,Big data,1591320378709
-M91641gzEgqSB_4qsu3,Ciencia de datos,1591320575839
-M91FmqtGhjoFqxi1vuu,Inteligencia artificial,1591323142310
-M91U8-hDHC13IqE7vnv,Ciencia de datos,1591326508873
-M91XmBFXV4swIxospjI,Ciencia de datos,1591327772096
-M91oUSnjYz4Xd9pfYli,Big data,1591332552142
-M91xRujFlrevhyoAqN3,Big data,1591334763859
